Symbol,Previous,Estimate,Reported,Next,Guidance,06-11,06-10,06-09,06-06,06-05,06-04,06-03,06-02,06-01_x,06-01_y,05-31,05-25
ON,2025-05-05,0.51,0.55,2025-07-28,,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
VST,2025-05-07,0.65,-0.93,2025-08-06,,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51
RGTI,2025-05-12,-0.04,-0.08,2025-08-06,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
BABA,2025-05-15,12.94,12.52,2025-08-13,,17.18,17.18,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.04
WMT,2025-05-15,0.58,0.61,2025-08-21,,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
AMAT,2025-05-15,2.31,2.39,2025-08-13,,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
CSCO,2025-05-14,0.92,0.96,2025-08-12,,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
PLUG,2025-05-12,-0.19,-0.21,2025-08-06,,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
ASTS,2025-05-12,-0.19,-0.2,2025-08-12,,-0.08,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
MNDY,2025-05-12,0.7,1.1,2025-08-11,,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
JD,2025-05-13,7.03,8.41,2025-08-13,,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.67
ACHR,2025-05-12,-0.26,-0.17,2025-08-06,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
PNNT,2025-05-12,0.19,0.18,2025-08-05,,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
IREN,2025-05-14,0.14,0.11,2025-08-26,,0.26,0.26,0.26,0.26,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
NU,2025-05-13,0.12,0.12,2025-08-11,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14
OKLO,2025-05-13,-0.11,-0.07,2025-08-11,,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
CAVA,2025-05-15,0.14,0.22,2025-08-20,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
GRAL,2025-05-13,-4.09,-3.09,2025-08-11,,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57,-3.57
HTZ,2025-05-12,-0.97,-1.12,2025-08-07,,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41
BLNK,2025-05-12,-0.14,-0.2,2025-08-04,,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
SE,2025-05-13,0.63,0.65,2025-08-11,,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
SMR,2025-05-12,-0.15,-0.11,2025-08-06,,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
TMC,2025-05-14,-0.04,-0.06,2025-08-12,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04
RMTI,2025-05-12,-0.05,-0.04,2025-08-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBR,2025-05-12,0.94,0.62,2025-08-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
MVST,2025-05-12,-0.01,0.06,2025-08-06,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NRG,2025-05-12,1.49,2.68,2025-08-06,,1.27,1.27,1.27,1.27,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
GEVO,2025-05-13,-0.1,-0.09,2025-08-06,,-0.06,-0.06,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
CYBR,2025-05-13,0.79,0.98,2025-08-06,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DOCS,2025-05-15,0.27,0.38,2025-08-06,,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
TTWO,2025-05-15,1.1,1.09,2025-08-06,,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73
SURG,2025-05-13,-0.23,-0.38,2025-08-11,,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
